date,lon,lat,sst,chl
2023-12-11,84.8123,11.979167,28.154999,0.22432023
2023-12-11,82.97866,11.604167,27.3,0.22800288
2023-12-11,83.02033,11.604167,27.529999,0.22800286
2023-12-11,85.39573,11.604167,27.555,0.21408008
2023-12-11,84.520584,11.479167,27.369999,0.24785668
2023-12-11,84.56226,11.479167,27.425,0.24785666
2023-12-11,84.270546,11.3125,26.515,0.27285406
2023-12-11,83.81213,11.270833,28.195,0.2096641
2023-12-11,83.853806,11.270833,28.09,0.2096641
2023-12-11,85.02067,11.270833,28.0,0.19916523
2023-12-11,85.06234,11.270833,28.045,0.23875253
2023-12-11,84.68728,11.145833,27.43,0.16957025
2023-12-11,80.76996,11.0625,27.515,0.30403367
2023-12-11,80.76996,11.020833,27.435,0.32636604
2023-12-11,80.81163,11.020833,27.564999,0.29229218
2023-12-11,80.85331,11.020833,27.59,0.28463072
2023-12-11,80.89498,10.9375,27.605,0.36254746
2023-12-11,80.93665,10.9375,27.605,0.36254746
2023-12-11,84.979,10.770833,28.359999,0.17056747
2023-12-11,85.10402,10.770833,28.385,0.15236497
2023-12-11,85.06234,10.6875,27.84,0.18444888
2023-12-11,85.10402,10.6875,27.84,0.19087398
2023-12-11,84.72896,10.4375,28.365,0.09140059
2023-12-11,85.39573,10.3125,28.744999,0.16877826
2023-12-11,85.312386,10.270833,28.65,0.1857559
2023-12-11,85.39573,10.270833,28.275,0.18113999
2023-12-11,76.14419,10.229167,28.949999,2.6496346
2023-12-11,85.39573,10.229167,28.699999,0.21362048
2023-12-11,85.312386,10.1875,28.555,0.19219746
2023-12-11,84.64561,10.145833,28.47,0.19209684
2023-12-11,84.68728,10.145833,28.47,0.17655578
2023-12-11,84.72896,10.145833,27.795,0.1641424
2023-12-11,85.35406,10.145833,28.414999,0.21844363
2023-12-11,85.39573,10.145833,28.234999,0.21907917
2023-12-11,84.68728,10.104167,28.455,0.1775706
2023-12-11,85.14569,10.104167,28.455,0.21808264
2023-12-11,85.229034,10.104167,27.824999,0.22547741
2023-12-11,84.979,10.0625,28.404999,0.18021016
2023-12-11,85.10402,10.0625,28.42,0.21701184
2023-12-11,85.18736,10.0625,27.859999,0.21986207
2023-12-11,85.81247,10.0625,28.57,0.25554284
2023-12-11,85.85414,10.0625,28.68,0.2595658
2023-12-11,85.89581,10.0625,28.705,0.23738472
2023-12-11,84.979,10.020833,25.88,0.18345371
2023-12-11,85.10402,10.020833,28.38,0.25610593
2023-12-11,85.229034,10.020833,27.8,0.22804472
2023-12-11,84.64561,9.979167,28.47,0.16023308
2023-12-11,84.68728,9.979167,28.48,0.16023307
2023-12-11,84.979,9.979167,28.449999,0.17609563
2023-12-11,85.81247,9.979167,28.224998,0.24820575
2023-12-11,85.85414,9.979167,28.17,0.24482949
2023-12-11,84.68728,9.9375,26.144999,0.16199535
2023-12-11,84.937325,9.9375,28.345,0.17848286
2023-12-11,84.64561,9.895833,27.845,0.18587236
2023-12-11,84.64561,9.854167,28.595,0.20429939
2023-12-11,84.85397,9.854167,28.34,0.17548828
2023-12-11,84.8123,9.8125,28.099998,0.1749264
2023-12-11,85.02067,9.729167,28.099998,0.234421
2023-12-11,85.10402,9.729167,28.21,0.24339096
2023-12-11,84.603935,9.6875,28.23,0.18118039
2023-12-11,84.72896,9.6875,26.865,0.17126949
2023-12-11,85.229034,9.6875,28.279999,0.29882047
2023-12-11,85.27071,9.6875,28.119999,0.25577223
2023-12-11,85.312386,9.6875,28.289999,0.25577226
2023-12-11,85.35406,9.6875,28.125,0.25873
2023-12-11,84.56226,9.645833,28.289999,0.18535614
2023-12-11,85.06234,9.645833,28.564999,0.23991375
2023-12-11,85.10402,9.645833,28.515,0.23991375
2023-12-11,84.603935,9.5625,27.859999,0.19551802
2023-12-11,84.72896,9.5625,28.529999,0.19180205
2023-12-11,85.645775,9.5625,28.234999,0.25681916
2023-12-11,85.68745,9.5625,28.14,0.2592868
2023-12-11,85.56242,9.520833,27.055,0.34458986
2023-12-11,85.6041,9.520833,27.43,0.24710849
2023-12-11,85.68745,9.520833,28.31,0.2554271
2023-12-11,76.352554,9.479167,29.59,3.1477675
2023-12-11,85.7708,9.479167,28.13,0.25203702
2023-12-11,85.81247,9.479167,28.4,0.25796467
2023-12-11,85.85414,9.479167,28.5,0.26978827
2023-12-11,85.89581,9.479167,28.63,0.27484465
2023-12-11,85.56242,9.4375,28.07,0.2618125
2023-12-11,85.645775,9.4375,28.574999,0.26185694
2023-12-11,85.72912,9.4375,28.49,0.25225848
2023-12-11,85.72912,9.395833,28.25,0.24665089
2023-12-11,85.7708,9.395833,28.13,0.27079168
2023-12-11,85.85414,9.395833,28.164999,0.2274523
2023-12-11,85.89581,9.395833,28.435,0.22521715
2023-12-11,85.93749,9.395833,28.545,0.21589853
2023-12-11,85.979164,9.395833,28.769999,0.21519555
2023-12-11,76.394226,9.3125,27.64,4.0912213
2023-12-11,83.60377,9.3125,28.07,0.11056686
